Team name,Member name,Member email
Flintstones,Fred Flintstone,fred@bedrock.net
Flintstones,Barney Rubble,barney@bedrock.net
Cold Fingers,伊座並 杏子,kyoko@bag.net
Flintstones,Wilma Flintstone,wilma@bedrock.net
Curl Jam,"Vedder, Eddie",eddie@jam.com
Curl Jam,"Cameron, Matt",matt@jam.com
Curl Jam,"Gossard, Stone",stone@jam.com
Curl Jam,"McCready, Mike",mike@jam.com
Flintstones,Betty Rubble,betty@bedrock.net
Curl Power,Buttercup,buttercup@powderpuff.net
Curl Power,Bubbles,bubbles@powerderpuff.net
Curl Power,Blossom,blossom@powderpuff.net
Curl Power,Mojo Jojo,mojo@powderpuff.net
Cold Fingers,佐藤 ひな,hina@bag.net
Cold Fingers,成神 陽太,yota@bag.net
Curl Jam,"Ament, Jeff",jeff@jam.com
Cold Fingers,国宝 阿修羅,ashura@bag.net
Cold Fingers,成神 空,sora@bag.net
